URL Path,Resolved Canonical,Self-Canonicalizing,Canonical Host,Foreign Domain,Status
"/tool/color-picker","https://www.sarkaripixels.online/tool/color-picker","Yes","www.sarkaripixels.online","No",200 OK
"/tool/compress-10","https://www.sarkaripixels.online/tool/compress-10","Yes","www.sarkaripixels.online","No",200 OK
"/tool/compress-100","https://www.sarkaripixels.online/tool/compress-100","Yes","www.sarkaripixels.online","No",200 OK
"/tool/compress-15","https://www.sarkaripixels.online/tool/compress-15","Yes","www.sarkaripixels.online","No",200 OK
"/tool/compress-150","https://www.sarkaripixels.online/tool/compress-150","Yes","www.sarkaripixels.online","No",200 OK
"/tool/compress-1mb","https://www.sarkaripixels.online/tool/compress-1mb","Yes","www.sarkaripixels.online","No",200 OK
"/tool/compress-20-50","https://www.sarkaripixels.online/tool/compress-20-50","Yes","www.sarkaripixels.online","No",200 OK
"/tool/compress-20","https://www.sarkaripixels.online/tool/compress-20","Yes","www.sarkaripixels.online","No",200 OK
"/tool/compress-200","https://www.sarkaripixels.online/tool/compress-200","Yes","www.sarkaripixels.online","No",200 OK
"/tool/compress-25","https://www.sarkaripixels.online/tool/compress-25","Yes","www.sarkaripixels.online","No",200 OK
"/tool/compress-2mb","https://www.sarkaripixels.online/tool/compress-2mb","Yes","www.sarkaripixels.online","No",200 OK
"/tool/compress-30","https://www.sarkaripixels.online/tool/compress-30","Yes","www.sarkaripixels.online","No",200 OK
"/tool/compress-300","https://www.sarkaripixels.online/tool/compress-300","Yes","www.sarkaripixels.online","No",200 OK
"/tool/compress-40","https://www.sarkaripixels.online/tool/compress-40","Yes","www.sarkaripixels.online","No",200 OK
"/tool/compress-5","https://www.sarkaripixels.online/tool/compress-5","Yes","www.sarkaripixels.online","No",200 OK
"/tool/compress-50","https://www.sarkaripixels.online/tool/compress-50","Yes","www.sarkaripixels.online","No",200 OK
"/tool/compress-500","https://www.sarkaripixels.online/tool/compress-500","Yes","www.sarkaripixels.online","No",200 OK
"/tool/compress-general","https://www.sarkaripixels.online/tool/compress-general","Yes","www.sarkaripixels.online","No",200 OK
"/tool/compress-image","https://www.sarkaripixels.online/tool/compress-image","Yes","www.sarkaripixels.online","No",200 OK
"/tool/convert-dpi","https://www.sarkaripixels.online/tool/convert-dpi","Yes","www.sarkaripixels.online","No",200 OK
"/tool/convert-kb-to-mb","https://www.sarkaripixels.online/tool/convert-kb-to-mb","Yes","www.sarkaripixels.online","No",200 OK
"/tool/convert-mb-to-kb","https://www.sarkaripixels.online/tool/convert-mb-to-kb","Yes","www.sarkaripixels.online","No",200 OK
"/tool/crop-image","https://www.sarkaripixels.online/tool/crop-image","Yes","www.sarkaripixels.online","No",200 OK
"/tool/crop-png","https://www.sarkaripixels.online/tool/crop-png","Yes","www.sarkaripixels.online","No",200 OK
"/tool/edit-metadata","https://www.sarkaripixels.online/tool/edit-metadata","Yes","www.sarkaripixels.online","No",200 OK
"/tool/flip-image","https://www.sarkaripixels.online/tool/flip-image","Yes","www.sarkaripixels.online","No",200 OK
"/tool/free-crop","https://www.sarkaripixels.online/tool/free-crop","Yes","www.sarkaripixels.online","No",200 OK
"/tool/generate-signature","https://www.sarkaripixels.online/tool/generate-signature","Yes","www.sarkaripixels.online","No",200 OK
